County,County Code,Race,Race Code,Education,Death Rate
"Chatham County, GA",13051,Black or African American,2054-5,"Some college credit, but not a degree",9.74
"Clayton County, GA",13063,Black or African American,2054-5,High school graduate or GED completed,13.81
"Clayton County, GA",13063,Black or African American,2054-5,"Some college credit, but not a degree",8.08
"Cobb County, GA",13067,Black or African American,2054-5,9th through 12th grade with no diploma,13.52
"Cobb County, GA",13067,Black or African American,2054-5,High school graduate or GED completed,10.39
"Cobb County, GA",13067,Black or African American,2054-5,"Some college credit, but not a degree",9.39
"Cobb County, GA",13067,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.23
"Cobb County, GA",13067,Black or African American,2054-5,"Master's degree (MA, MS)",7.54
"Cobb County, GA",13067,Black or African American,2054-5,Unknown/Not on certificate,22.29
"Cobb County, GA",13067,Black or African American,2054-5,Excluded,11.92
"DeKalb County, GA",13089,Black or African American,2054-5,9th through 12th grade with no diploma,9.51
"DeKalb County, GA",13089,Black or African American,2054-5,High school graduate or GED completed,10.03
"DeKalb County, GA",13089,Black or African American,2054-5,"Some college credit, but not a degree",7.61
"DeKalb County, GA",13089,Black or African American,2054-5,"Associate degree (AA, AS)",7.69
"DeKalb County, GA",13089,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",7.69
"DeKalb County, GA",13089,Black or African American,2054-5,"Master's degree (MA, MS)",6.53
"DeKalb County, GA",13089,Black or African American,2054-5,Unknown/Not on certificate,26.14
"DeKalb County, GA",13089,Black or African American,2054-5,Excluded,10.28
"Fulton County, GA",13121,Black or African American,2054-5,8th grade or less,12.73
"Fulton County, GA",13121,Black or African American,2054-5,9th through 12th grade with no diploma,10.37
"Fulton County, GA",13121,Black or African American,2054-5,High school graduate or GED completed,9.29
"Fulton County, GA",13121,Black or African American,2054-5,"Some college credit, but not a degree",9.08
"Fulton County, GA",13121,Black or African American,2054-5,"Associate degree (AA, AS)",9.21
"Fulton County, GA",13121,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",7.08
"Fulton County, GA",13121,Black or African American,2054-5,"Master's degree (MA, MS)",7.25
"Fulton County, GA",13121,Black or African American,2054-5,Unknown/Not on certificate,16.29
"Fulton County, GA",13121,Black or African American,2054-5,Excluded,12.41
"Gwinnett County, GA",13135,Black or African American,2054-5,9th through 12th grade with no diploma,8.14
"Gwinnett County, GA",13135,Black or African American,2054-5,High school graduate or GED completed,9.68
"Gwinnett County, GA",13135,Black or African American,2054-5,"Some college credit, but not a degree",8.82
"Gwinnett County, GA",13135,Black or African American,2054-5,"Associate degree (AA, AS)",6.78
"Gwinnett County, GA",13135,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",7.5
"Gwinnett County, GA",13135,Black or African American,2054-5,"Master's degree (MA, MS)",6.14
"Gwinnett County, GA",13135,Black or African American,2054-5,Unknown/Not on certificate,27.69
"Gwinnett County, GA",13135,Black or African American,2054-5,Excluded,10.08
"Unidentified Counties, GA",13999,Black or African American,2054-5,8th grade or less,10.78
"Unidentified Counties, GA",13999,Black or African American,2054-5,9th through 12th grade with no diploma,12.5
"Unidentified Counties, GA",13999,Black or African American,2054-5,High school graduate or GED completed,11.67
"Unidentified Counties, GA",13999,Black or African American,2054-5,"Some college credit, but not a degree",10.18
"Unidentified Counties, GA",13999,Black or African American,2054-5,"Associate degree (AA, AS)",10.92
"Unidentified Counties, GA",13999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.64
"Unidentified Counties, GA",13999,Black or African American,2054-5,"Master's degree (MA, MS)",9.26
"Unidentified Counties, GA",13999,Black or African American,2054-5,Unknown/Not on certificate,26.31
"Unidentified Counties, GA",13999,Black or African American,2054-5,Excluded,13.06
"Honolulu County, HI",15003,Black or African American,2054-5,Excluded,13.32
"Cook County, IL",17031,Black or African American,2054-5,8th grade or less,14.66
"Cook County, IL",17031,Black or African American,2054-5,9th through 12th grade with no diploma,14.12
"Cook County, IL",17031,Black or African American,2054-5,High school graduate or GED completed,13.39
"Cook County, IL",17031,Black or African American,2054-5,"Some college credit, but not a degree",10.6
"Cook County, IL",17031,Black or African American,2054-5,"Associate degree (AA, AS)",12.51
"Cook County, IL",17031,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",11.36
"Cook County, IL",17031,Black or African American,2054-5,"Master's degree (MA, MS)",10.39
"Cook County, IL",17031,Black or African American,2054-5,Unknown/Not on certificate,32.6
"Cook County, IL",17031,Black or African American,2054-5,Excluded,13.48
"DuPage County, IL",17043,Black or African American,2054-5,"Some college credit, but not a degree",8.44
"DuPage County, IL",17043,Black or African American,2054-5,Excluded,16.13
"Kane County, IL",17089,Black or African American,2054-5,9th through 12th grade with no diploma,22.88
"Kane County, IL",17089,Black or African American,2054-5,High school graduate or GED completed,11.96
"Kane County, IL",17089,Black or African American,2054-5,Excluded,7.7
"Lake County, IL",17097,Black or African American,2054-5,9th through 12th grade with no diploma,15.87
"Lake County, IL",17097,Black or African American,2054-5,High school graduate or GED completed,16.83
"Lake County, IL",17097,Black or African American,2054-5,"Some college credit, but not a degree",10.2
"Lake County, IL",17097,Black or African American,2054-5,Excluded,9.5
"Madison County, IL",17119,Black or African American,2054-5,9th through 12th grade with no diploma,27.33
"Madison County, IL",17119,Black or African American,2054-5,"Some college credit, but not a degree",14.29
"Madison County, IL",17119,Black or African American,2054-5,Excluded,12.96
"St. Clair County, IL",17163,Black or African American,2054-5,9th through 12th grade with no diploma,14.81
"St. Clair County, IL",17163,Black or African American,2054-5,High school graduate or GED completed,9.14
"St. Clair County, IL",17163,Black or African American,2054-5,"Some college credit, but not a degree",13.54
"St. Clair County, IL",17163,Black or African American,2054-5,Excluded,11.31
"Will County, IL",17197,Black or African American,2054-5,High school graduate or GED completed,12.94
"Will County, IL",17197,Black or African American,2054-5,"Some college credit, but not a degree",10.66
"Will County, IL",17197,Black or African American,2054-5,Excluded,13.65
"Winnebago County, IL",17201,Black or African American,2054-5,9th through 12th grade with no diploma,12.24
"Winnebago County, IL",17201,Black or African American,2054-5,High school graduate or GED completed,11.84
"Winnebago County, IL",17201,Black or African American,2054-5,Excluded,15.6
"Unidentified Counties, IL",17999,Black or African American,2054-5,9th through 12th grade with no diploma,17.23
"Unidentified Counties, IL",17999,Black or African American,2054-5,High school graduate or GED completed,13.89
"Unidentified Counties, IL",17999,Black or African American,2054-5,"Some college credit, but not a degree",13.03
"Unidentified Counties, IL",17999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.91
"Unidentified Counties, IL",17999,Black or African American,2054-5,"Master's degree (MA, MS)",17.43
"Unidentified Counties, IL",17999,Black or African American,2054-5,Excluded,14.68
"Allen County, IN",18003,Black or African American,2054-5,9th through 12th grade with no diploma,17.8
"Allen County, IN",18003,Black or African American,2054-5,High school graduate or GED completed,20.07
"Allen County, IN",18003,Black or African American,2054-5,"Some college credit, but not a degree",18.47
"Allen County, IN",18003,Black or African American,2054-5,Excluded,16.76
"Lake County, IN",18089,Black or African American,2054-5,9th through 12th grade with no diploma,11.75
"Lake County, IN",18089,Black or African American,2054-5,High school graduate or GED completed,13.44
"Lake County, IN",18089,Black or African American,2054-5,"Some college credit, but not a degree",11.66
"Lake County, IN",18089,Black or African American,2054-5,"Associate degree (AA, AS)",13.21
"Lake County, IN",18089,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",10.36
"Lake County, IN",18089,Black or African American,2054-5,Unknown/Not on certificate,45.28
"Lake County, IN",18089,Black or African American,2054-5,Excluded,12.48
"Marion County, IN",18097,Black or African American,2054-5,9th through 12th grade with no diploma,12.8
"Marion County, IN",18097,Black or African American,2054-5,High school graduate or GED completed,14.52
"Marion County, IN",18097,Black or African American,2054-5,"Some college credit, but not a degree",12.06
"Marion County, IN",18097,Black or African American,2054-5,"Associate degree (AA, AS)",11.42
"Marion County, IN",18097,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",12.4
"Marion County, IN",18097,Black or African American,2054-5,Excluded,14.95
"St. Joseph County, IN",18141,Black or African American,2054-5,9th through 12th grade with no diploma,15.16
"St. Joseph County, IN",18141,Black or African American,2054-5,High school graduate or GED completed,18.98
"St. Joseph County, IN",18141,Black or African American,2054-5,"Some college credit, but not a degree",12.22
"St. Joseph County, IN",18141,Black or African American,2054-5,Excluded,22.19
"Unidentified Counties, IN",18999,Black or African American,2054-5,9th through 12th grade with no diploma,13.18
"Unidentified Counties, IN",18999,Black or African American,2054-5,High school graduate or GED completed,15.98
"Unidentified Counties, IN",18999,Black or African American,2054-5,"Some college credit, but not a degree",8.3
"Unidentified Counties, IN",18999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.15
"Unidentified Counties, IN",18999,Black or African American,2054-5,Excluded,15.68
"Polk County, IA",19153,Black or African American,2054-5,9th through 12th grade with no diploma,9.57
