,Area name,GEOID,Race,Race Code,Education,Death Rate
244,DeKalb County,13089,Black or African American,2054-5,Unknown/Not on certificate,26.14
245,DeKalb County,13089,Black or African American,2054-5,Excluded,10.28
246,Fulton County,13121,Black or African American,2054-5,8th grade or less,12.73
247,Fulton County,13121,Black or African American,2054-5,9th through 12th grade with no diploma,10.37
248,Fulton County,13121,Black or African American,2054-5,High school graduate or GED completed,9.29
249,Fulton County,13121,Black or African American,2054-5,"Some college credit, but not a degree",9.08
250,Fulton County,13121,Black or African American,2054-5,"Associate degree (AA, AS)",9.21
251,Fulton County,13121,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",7.08
252,Fulton County,13121,Black or African American,2054-5,"Master's degree (MA, MS)",7.25
253,Fulton County,13121,Black or African American,2054-5,Unknown/Not on certificate,16.29
254,Fulton County,13121,Black or African American,2054-5,Excluded,12.41
255,Gwinnett County,13135,Black or African American,2054-5,9th through 12th grade with no diploma,8.14
256,Gwinnett County,13135,Black or African American,2054-5,High school graduate or GED completed,9.68
257,Gwinnett County,13135,Black or African American,2054-5,"Some college credit, but not a degree",8.82
258,Gwinnett County,13135,Black or African American,2054-5,"Associate degree (AA, AS)",6.78
259,Gwinnett County,13135,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",7.5
260,Gwinnett County,13135,Black or African American,2054-5,"Master's degree (MA, MS)",6.14
261,Gwinnett County,13135,Black or African American,2054-5,Unknown/Not on certificate,27.69
262,Gwinnett County,13135,Black or African American,2054-5,Excluded,10.08
263,Unidentified Counties,13999,Black or African American,2054-5,8th grade or less,10.78
264,Unidentified Counties,13999,Black or African American,2054-5,9th through 12th grade with no diploma,12.5
265,Unidentified Counties,13999,Black or African American,2054-5,High school graduate or GED completed,11.67
266,Unidentified Counties,13999,Black or African American,2054-5,"Some college credit, but not a degree",10.18
267,Unidentified Counties,13999,Black or African American,2054-5,"Associate degree (AA, AS)",10.92
268,Unidentified Counties,13999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.64
269,Unidentified Counties,13999,Black or African American,2054-5,"Master's degree (MA, MS)",9.26
270,Unidentified Counties,13999,Black or African American,2054-5,Unknown/Not on certificate,26.31
271,Unidentified Counties,13999,Black or African American,2054-5,Excluded,13.06
272,Honolulu County,15003,Black or African American,2054-5,Excluded,13.32
273,Cook County,17031,Black or African American,2054-5,8th grade or less,14.66
274,Cook County,17031,Black or African American,2054-5,9th through 12th grade with no diploma,14.12
275,Cook County,17031,Black or African American,2054-5,High school graduate or GED completed,13.39
276,Cook County,17031,Black or African American,2054-5,"Some college credit, but not a degree",10.6
277,Cook County,17031,Black or African American,2054-5,"Associate degree (AA, AS)",12.51
278,Cook County,17031,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",11.36
279,Cook County,17031,Black or African American,2054-5,"Master's degree (MA, MS)",10.39
280,Cook County,17031,Black or African American,2054-5,Unknown/Not on certificate,32.6
281,Cook County,17031,Black or African American,2054-5,Excluded,13.48
282,DuPage County,17043,Black or African American,2054-5,"Some college credit, but not a degree",8.44
283,DuPage County,17043,Black or African American,2054-5,Excluded,16.13
284,Kane County,17089,Black or African American,2054-5,9th through 12th grade with no diploma,22.88
285,Kane County,17089,Black or African American,2054-5,High school graduate or GED completed,11.96
286,Kane County,17089,Black or African American,2054-5,Excluded,7.7
287,Lake County,17097,Black or African American,2054-5,9th through 12th grade with no diploma,15.87
288,Lake County,17097,Black or African American,2054-5,High school graduate or GED completed,16.83
289,Lake County,17097,Black or African American,2054-5,"Some college credit, but not a degree",10.2
290,Lake County,17097,Black or African American,2054-5,Excluded,9.5
291,Madison County,17119,Black or African American,2054-5,9th through 12th grade with no diploma,27.33
292,Madison County,17119,Black or African American,2054-5,"Some college credit, but not a degree",14.29
293,Madison County,17119,Black or African American,2054-5,Excluded,12.96
294,St. Clair County,17163,Black or African American,2054-5,9th through 12th grade with no diploma,14.81
295,St. Clair County,17163,Black or African American,2054-5,High school graduate or GED completed,9.14
296,St. Clair County,17163,Black or African American,2054-5,"Some college credit, but not a degree",13.54
297,St. Clair County,17163,Black or African American,2054-5,Excluded,11.31
298,Will County,17197,Black or African American,2054-5,High school graduate or GED completed,12.94
299,Will County,17197,Black or African American,2054-5,"Some college credit, but not a degree",10.66
300,Will County,17197,Black or African American,2054-5,Excluded,13.65
301,Winnebago County,17201,Black or African American,2054-5,9th through 12th grade with no diploma,12.24
302,Winnebago County,17201,Black or African American,2054-5,High school graduate or GED completed,11.84
303,Winnebago County,17201,Black or African American,2054-5,Excluded,15.6
304,Unidentified Counties,17999,Black or African American,2054-5,9th through 12th grade with no diploma,17.23
305,Unidentified Counties,17999,Black or African American,2054-5,High school graduate or GED completed,13.89
306,Unidentified Counties,17999,Black or African American,2054-5,"Some college credit, but not a degree",13.03
307,Unidentified Counties,17999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.91
308,Unidentified Counties,17999,Black or African American,2054-5,"Master's degree (MA, MS)",17.43
309,Unidentified Counties,17999,Black or African American,2054-5,Excluded,14.68
310,Allen County,18003,Black or African American,2054-5,9th through 12th grade with no diploma,17.8
311,Allen County,18003,Black or African American,2054-5,High school graduate or GED completed,20.07
312,Allen County,18003,Black or African American,2054-5,"Some college credit, but not a degree",18.47
313,Allen County,18003,Black or African American,2054-5,Excluded,16.76
314,Lake County,18089,Black or African American,2054-5,9th through 12th grade with no diploma,11.75
315,Lake County,18089,Black or African American,2054-5,High school graduate or GED completed,13.44
316,Lake County,18089,Black or African American,2054-5,"Some college credit, but not a degree",11.66
317,Lake County,18089,Black or African American,2054-5,"Associate degree (AA, AS)",13.21
318,Lake County,18089,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",10.36
319,Lake County,18089,Black or African American,2054-5,Unknown/Not on certificate,45.28
320,Lake County,18089,Black or African American,2054-5,Excluded,12.48
321,Marion County,18097,Black or African American,2054-5,9th through 12th grade with no diploma,12.8
322,Marion County,18097,Black or African American,2054-5,High school graduate or GED completed,14.52
323,Marion County,18097,Black or African American,2054-5,"Some college credit, but not a degree",12.06
324,Marion County,18097,Black or African American,2054-5,"Associate degree (AA, AS)",11.42
325,Marion County,18097,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",12.4
326,Marion County,18097,Black or African American,2054-5,Excluded,14.95
327,St. Joseph County,18141,Black or African American,2054-5,9th through 12th grade with no diploma,15.16
328,St. Joseph County,18141,Black or African American,2054-5,High school graduate or GED completed,18.98
329,St. Joseph County,18141,Black or African American,2054-5,"Some college credit, but not a degree",12.22
330,St. Joseph County,18141,Black or African American,2054-5,Excluded,22.19
331,Unidentified Counties,18999,Black or African American,2054-5,9th through 12th grade with no diploma,13.18
332,Unidentified Counties,18999,Black or African American,2054-5,High school graduate or GED completed,15.98
333,Unidentified Counties,18999,Black or African American,2054-5,"Some college credit, but not a degree",8.3
334,Unidentified Counties,18999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",9.15
335,Unidentified Counties,18999,Black or African American,2054-5,Excluded,15.68
336,Polk County,19153,Black or African American,2054-5,9th through 12th grade with no diploma,9.57
337,Polk County,19153,Black or African American,2054-5,High school graduate or GED completed,16.01
338,Polk County,19153,Black or African American,2054-5,"Some college credit, but not a degree",7.52
339,Polk County,19153,Black or African American,2054-5,Excluded,17.18
340,Unidentified Counties,19999,Black or African American,2054-5,9th through 12th grade with no diploma,12.67
341,Unidentified Counties,19999,Black or African American,2054-5,High school graduate or GED completed,10.22
342,Unidentified Counties,19999,Black or African American,2054-5,"Some college credit, but not a degree",9.2
343,Unidentified Counties,19999,Black or African American,2054-5,Excluded,9.86
344,Johnson County,20091,Black or African American,2054-5,High school graduate or GED completed,15.48
345,Johnson County,20091,Black or African American,2054-5,"Some college credit, but not a degree",12.58
346,Sedgwick County,20173,Black or African American,2054-5,9th through 12th grade with no diploma,18.92
347,Sedgwick County,20173,Black or African American,2054-5,High school graduate or GED completed,14.96
348,Sedgwick County,20173,Black or African American,2054-5,"Some college credit, but not a degree",12.87
349,Sedgwick County,20173,Black or African American,2054-5,"Associate degree (AA, AS)",33.51
350,Unidentified Counties,20999,Black or African American,2054-5,9th through 12th grade with no diploma,13.39
351,Unidentified Counties,20999,Black or African American,2054-5,High school graduate or GED completed,13.54
352,Unidentified Counties,20999,Black or African American,2054-5,"Some college credit, but not a degree",10.4
353,Unidentified Counties,20999,Black or African American,2054-5,"Associate degree (AA, AS)",13.7
